,Entity_SubjectType_ClassificationCode,NameAlias_WholeName,Address_City,Address_CountryDescription
0,person,Saddam Hussein Al-Tikriti,,
1,person,Abu Ali,,
2,person,Abou Ali,,
3,person,,,
4,person,,,
5,person,Qusay Saddam Hussein Al-Tikriti,,
6,person,Qoussaï Saddam Hussein Al-Tikriti,,
7,person,,,
8,person,,,
9,person,,,
10,person,Uday Saddam Hussein Al-Tikriti,,
11,person,Oudaï Saddam Hussein Al-Tikriti,,
12,person,,,
13,person,,,
14,person,,,
15,person,Abid Hamid Mahmud Al-Tikriti,,
16,person,Abid Hamid Bid Hamid Mahmud,,
17,person,Abdel Hamid Mahmoud,,
18,person,Abed Mahmoud Hammud,,
19,person,Abid Hamid Mahmoud Al-Tikriti,,
20,person,Abid Hamid Bid Hamid Mahmoud,,
21,person,Abed Mahmoud Hammoud,,
22,person,,,
23,person,,,
24,person,Ali Hassan Al-Majid Al-Tikriti,,
25,person,Al-Kimawi,,
26,person,,,
27,person,,,
28,person,,,
29,person,Izzat Ibrahim al-Duri,,
30,person,Abu Brays,,
31,person,Abu Ahmad,,
32,person,Izzat Ibrahim al-Duri,,
33,person,Izzat Ibrahim al-Duri,,
34,person,Abu Brays,,
35,person,Abu Brays,,
36,person,Abu Ahmad,,
37,person,Abu Ahmad,,
38,person,Izzat Ibrahim Al-Duri,,
39,person,Izzat Ibrahim al-Douri,,
40,person,,,
41,person,,,
42,person,,,
43,person,Hani Abd-Al-Latif Tilfah Al-Tikriti,,
44,person,Hani Abdel-Latif Tilfah Al-Tikriti,,
45,person,,,
46,person,,,
47,person,Muhammad Hamza Zubaidi,,
48,person,Mohammed Hamza Zoubaïdi,,
49,person,,,
50,person,,,
51,person,,,
52,person,Barzan Abd al-Ghafur Sulaiman Majid Al-Tikriti,,
53,person,Barzan Razuki Abd al-Ghafur,,
54,person,Barzan Razuki Abd Al-Ghafur,,
55,person,Barzan Abdel Ghafour Souleiman Majid Al-Tikriti,,
56,person,Barzan Razuki Abdel Ghafour,,
57,person,,,
58,person,,,
59,person,,,
60,person,,,
61,person,Muzahim Sa'b Hassan Al-Tikriti,,
62,person,Muzahim Sa'b Hassan Al-Tikriti,,
63,person,Muzahem Saab Hassan Al-Tikriti,,
64,person,,,
65,person,,,
66,person,,,
67,person,,,
68,person,,,
69,person,,,
70,person,,,
71,person,,,
72,person,Ibrahim Ahmad Abd al-Sattar Muhammed Al-Tikriti,,
73,person,Ibrahim Ahmed Abdel Sattar Mohammed Al-Tikriti,,
74,person,,,
75,person,,,
76,person,,,
77,person,Saif-al-Din Fulayyih Hassan Taha Al-Rawi,,
78,person,Ayad Futayyih Al-Rawi,,
79,person,Saïf-al-Din Foulaï Hassan Taha Al-Raoui,,
80,person,Ayad Foutaï Al-Raoui,,
81,person,,,
82,person,,,
83,person,Rafi Abd-al-Latif Tilfah Al-Tikriti,,
84,person,Rafi Abdel Latif Tilfa Al-Tikriti,,
85,person,,,
86,person,,,
87,person,Tahir Jalil Habbush Al-Tikriti,,
88,person,Tahir Jalil Habbush Al-Tikriti,,
89,person,Tahir Jalil Habbouch Al-Tikriti,,
90,person,,,
91,person,,,
92,person,Hamid Raja Shalah Al-Tikriti,,
93,person,Hassan Al-Tikriti,,
94,person,Hamid Raja-Shalah Hassum Al-Tikriti,,
95,person,Hamid Raja Chala Al-Tikriti,,
96,person,Hamid Raja-Chala Hassoum Al-Tikriti,,
97,person,,,
98,person,,,
99,person,,,
100,person,,,
101,person,Abd-al-Tawwab Mullah Huwaysh,,
102,person,Abd-al-Tawwab Mullah Huwaysh,,
103,person,Abdel-Taouab Moullah Houwaïch,,
104,person,,,
105,person,,,
106,person,,,
107,person,,,
108,person,,,
109,person,Taha Yassin Ramadan Al-Jizrawi,,
110,person,Taha Yassine Ramadan Al-Jizraoui,,
111,person,,,
112,person,,,
113,person,Jamal Mustafa Abdallah Sultan Al-Tikriti,,
114,person,Jamal Mustafa Abdallah Sultan al-Tikriti,,
115,person,Jamal Moustafa Abdallah Soultan Al-Tikriti,,
116,person,,,
117,person,,,
118,person,Mizban Khadr Hadi,,
119,person,,,
120,person,,,
121,person,,,
122,person,Taha Muhyi-al-Din Ma'ruf,,
123,person,Taha Mouhi-al-Din Marouf,,
124,person,,,
125,person,,,
126,person,,,
127,person,Tariq Aziz,,
128,person,Tariq Mikhail Aziz,,
129,person,Tarek Aziz,,
130,person,Tarek Mikhail Aziz,,
131,person,,,
132,person,,,
133,person,,,
134,person,,,
135,person,Walid Hamid Tawfiq Al-Tikriti,,
136,person,Walid Hamid Tawfiq al-Nasiri,,
137,person,Walid Hamid Tawfiq Al-Nasiri,,
138,person,Walid Hamid Tawfik Al-Tikriti,,
139,person,Walid Hamid Tawfik al-Nasiri,,
140,person,,,
141,person,,,
142,person,Sultan Hashim Ahmad Al-Ta'i,,
143,person,Soultan Hachim Ahmed Al-Tai,,
144,person,,,
145,person,,,
146,person,,,
147,person,Hikmat Mizban Ibrahim al-Azzawi,,
148,person,Hikmat Mizban Ibrahim al-Azzaoui,,
149,person,,,
150,person,,,
151,person,Ayad Futayyih Khalifa Al-Rawi,,
152,person,Ayad Futayyih Khalifa Al-Rawi,,
153,person,,,
154,person,,,
155,person,Amir Hamudi Hassan Al-Sa'di,,
156,person,Amir Hamudi Hassan Al-Sa'di,,
157,person,Amir Hamudi Hassan Al-Sa'di,,
158,person,Amir Hamoudi Hassan Al-Sadi,,
159,person,,,
160,person,,,
161,person,,,
162,person,,,
163,person,,,
164,person,Sab'awi Ibrahim Hassan Al-Tikriti,,
165,person,Sab'awi Ibrahim Hassan Al-Tikriti,,
166,person,Sab'awi Ibrahim Hassan Al-Tikriti,,
167,person,Sabaoui Ibrahim Hassan Al-Tikriti,,
168,person,,,
169,person,,,
170,person,Watban Ibrahim Hassan Al-Tikriti,,
171,person,Watban Ibrahim Hassan Al-Tikriti,,
172,person,Watab Ibrahim al-Hassan,,
173,person,Watab Ibrahim al-Hassan,,
174,person,,,
175,person,,,
176,person,Barzan Ibrahim Hassan Al-Tikriti,,
177,person,Barzan Ibrahim Hassan Al-Tikriti,,
178,person,Barzan Ibrahim Hassan Al-Tikriti,,
179,person,,,
180,person,,,
181,person,Huda Salih Mahdi Ammash,,
182,person,Huda Salih Mahdi Ammash,,
183,person,Huda Salih Mahdi Ammash,,
184,person,Huda Salih Mahdi Ammash,,
185,person,Houda Sali Mahdi Ammach,,
186,person,,,
187,person,,,
188,person,Humam Abd-al-Khaliq Abd-al-Ghafur,,
189,person,Humam Abd-al-Khaliq Abd-al-Ghafur,,
190,person,Humam Abd-al-Khaliq Abd-al-Ghafur,,
191,person,Humam 'Abd al-Khaliq 'Abd al-Rahman,,
192,person,Humam 'Abd al-Khaliq 'Abd al-Rahman,,
193,person,Humam 'Abd al-Khaliq 'Abd al-Rahman,,
194,person,Humam 'Abd-al-Khaliq Rashid,,
195,person,Humam 'Abd-al-Khaliq Rashid,,
196,person,Humam 'Abd-al-Khaliq Rashid,,
197,person,Houmam Abdel-Khalik Abdel-Ghafour,,
198,person,Houmam Abdel-Khalik Abdel-Rahman,,
199,person,Houmam Abdel-Khalil Rachid,,
200,person,,,
201,person,,,
202,person,,,
203,person,Yahia Abdallah Al-Ubaidi,,
204,person,Yahia Abdalla Al-Oubaïdi,,
205,person,,,
206,,,,
207,,,,
208,,,,
209,,,,
210,person,Saif-al-Din Al-Mashhadani,,
211,person,Saif-al-Din Al-Machhadani,,
212,person,Saif-al-Din Al-Machhadani,,
213,person,,,
214,person,,,
215,person,Fadil Mahmud Gharib,,
216,person,Fadil Mahmud Gharib,,
217,person,Gharib Muhammad Fazel al-Mashaikhi,,
218,person,Gharib Muhammad Fazel al-Mashaikhi,,
219,person,Fadil Mahmoud Gharib,,
220,person,Gharib Mohammed Fazel al-Machaikhi,,
221,person,,,
222,person,,,
223,person,Muhsin Khadr Al-Khafaji,,
224,person,Mouhssin Khadr Al-Khafaji,,
225,person,,,
226,person,Rashid Taan Kathim,,
227,person,Rachid Taan Kazim,,
228,person,,,
229,person,Ugla Abid Sakr Al-Zubaisi,,
230,person,Saqr al-Kabisi Abd Aqala,,
231,person,Ougla Abid Sakr Al-Koubaïssi,,
232,person,,,
233,person,,,
234,person,Ghazi Hammud Al-Ubaidi,,
235,person,Ghazi Hammoud Al-Oubaïdi,,
236,person,,,
237,person,,,
238,person,Adil Abdallah Mahdi,,
239,person,Adil Abdallah Mahdi,,
240,person,,,
241,person,,,
242,person,,,
243,person,,,
244,person,Khamis Sirhan Al-Muhammad,,
245,person,Dr. Fnu Mnu Khamis,,
246,person,Khamis Sirhan Al-Muhammad,,
247,person,Khamis Sirhan Al-Muhammad,,
248,person,,,
249,person,Sa'd Abd-al-Majid Al-Faisal Al-Tikriti,,
250,person,Sa'd Abd-al-Majid Al-Faisal Al-Tikriti,,
251,person,Saad Abdul-Majid Al-Faissal Al-Tikriti,,
252,person,Sa'd Abd-al-Majid Al-Faisal Al-Tikriti,,
253,person,,,
254,person,,,
255,person,AL-NASSER Abdelkarim Hussein Mohamed,,
256,person,,,
257,person,,,
258,person,AL-YACOUB Ibrahim Salih Mohammed,,
259,person,,,
260,person,,,
261,person,AL-DIN Izz Hasan,,
262,person,Garbaya Ahmed,,
263,person,Sa’id,,
264,person,Salwwan Samir,,
265,person,,,
266,person,,,
267,person,MOHAMMED Khalid Sheikh,,
268,person,Ali Salem,,
269,person,Bin Khalid Fahd Bin Abdallah,,
270,person,Henin Ashraf Refaat Nabith,,
271,person,Wadood Khalid Abdul,,
272,person,,,
273,person,,,
274,person,,,
275,enterprise,Abu Nidal Organisation,,
276,enterprise,ANO,,
277,enterprise,Fatah Revolutionary Council,,
278,enterprise,Arab Revolutionary Brigades,,
279,enterprise,Black September,,
280,enterprise,Revolutionary Organisation of Socialist Muslims,,
281,enterprise,Revolutionaire Organisatie van Socialistische Moslims,,
282,enterprise,Zwarte September,,
283,enterprise,Arabische Revolutionaire Brigades,,
284,enterprise,Fatah Revolutionaire Raad,,
285,enterprise,l-Organizzazzjoni Rivoluzzjonarja tal-Musulmani Sojalisti,,
286,enterprise,s-Settembru l-Iswed,,
287,enterprise,l-Brigati Rivoluzzjonarji Garab,,
288,enterprise,l-Kunsill Rivoluzzjonarju tal-Fatah,,
289,enterprise,L-Organizzazzjoni Abu Nidal,,
290,enterprise,Szocialista Muzulmánok Forradalmi Szervezete,,
291,enterprise,Fekete Szeptember,,
292,enterprise,Arab Forradalmi Brigádok,,
293,enterprise,Fatah Forradalmi Tanács,,
294,enterprise,Abu Nidal Szervezet,,
295,enterprise,Musulmonų socialistų revoliucinė organizacija,,
296,enterprise,Juodasis rugsėjis,,
297,enterprise,Arabų revoliucinės brigados,,
298,enterprise,Fatah revoliucinė taryba,,
299,enterprise,Abu Nidal organizacija,,
300,enterprise,Organizzazione rivoluzionaria dei musulmani socialisti,,
301,enterprise,Settembre nero,,
302,enterprise,Brigate rivoluzionarie arabe,,
303,enterprise,Consiglio rivoluzionario Fatah,,
304,enterprise,Organizzazione Abu Nidal,,
305,enterprise,Revolucionarna organizacija socijalističkih muslimana,,
306,enterprise,Crni rujan,,
307,enterprise,Arapske revolucionarne brigade,,
308,enterprise,Revolucionarno vijeće Fataha,,
309,enterprise,Organizacija Abu Nidal,,
310,enterprise,Eagraíocht Réabhlóide na Moslamach Sóisialach,,
311,enterprise,Lucht Mheán Fómhair Dubh,,
312,enterprise,na Briogáidí Réabhlóideacha Arabacha,,
313,enterprise,Comhairle Réabhlóide Fatah,,
314,enterprise,Eagraíocht Abu Nidal,,
315,enterprise,Organisation révolutionnaire des musulmans socialistes,,
316,enterprise,Septembre noir,,
317,enterprise,Brigades révolutionnaires arabes,,
318,enterprise,Conseil révolutionnaire du Fatah,,
319,enterprise,Organisation Abou Nidal,,
320,enterprise,Επαναστατική Οργάνωση Σοσιαλιστών Μουσουλμάνων,,
321,enterprise,Μαύρος Σεπτέμβρης,,
322,enterprise,Αραβικές Επαναστατικές Ταξιαρχίες,,
323,enterprise,Επαναστατικό Συμβούλιο Φατάχ,,
324,enterprise,Οργάνωση Abu Nidal,,
325,enterprise,Sotsialistlike Moslemite Revolutsiooniline Organisatsioon,,
326,enterprise,Must September,,
327,enterprise,Araabia Revolutsioonilised Brigaadid,,
328,enterprise,Fatah' Revolutsiooniline Nõukogu,,
329,enterprise,Abu Nidali Organisatsioon,,
330,enterprise,Revolutionäre Organisation der Sozialistischen Moslems,,
331,enterprise,Schwarzer September,,
332,enterprise,Arabische Revolutionäre Brigaden,,
333,enterprise,Fatah-Revolutionsrat,,
334,enterprise,Revoluční organizace socialistických muslimů,,
335,enterprise,Černé září,,
336,enterprise,Arabské revoluční brigády,,
337,enterprise,Revoluční rada Fatáhu,,
338,enterprise,Organizace Abú Nidal,,
339,enterprise,Organización Revolucionaria de los Musulmanes Socialistas,,
340,enterprise,Septiembre Negro,,
341,enterprise,Brigadas Revolucionarias Árabes,,
342,enterprise,Consejo Revolucionario de Al Fatah,,
343,enterprise,Organización Abu Nidal,,
344,enterprise,Революционна организация на мюсюлманите социалисти,,
345,enterprise,Черен септември,,
346,enterprise,Арабски революционни бригади,,
347,enterprise,Революционен съвет на Фатах,,
348,enterprise,Организация „Абу Нидал”,,
349,enterprise,Abu Nidals grupp,,
350,enterprise,Musta syyskuu,,
351,enterprise,Fatahin vallankumousneuvosto,,
352,enterprise,Abu Nidal - järjestö,,
353,enterprise,Revolucionarna organizacija socialističnih muslimanov,,
354,enterprise,Črni September,,
355,enterprise,Arabske revolucionarne brigade,,
356,enterprise,Revolucionarni svet Fataha,,
357,enterprise,Organizacija Abu Nidal,,
358,enterprise,Revolučná organizácia moslimských socialistov,,
359,enterprise,Čierny september,,
360,enterprise,Arabské revolučné brigády,,
361,enterprise,Revolučná rada Fatah,,
362,enterprise,Organizácia Abú Nidála,,
363,enterprise,Organizația Revoluționară a Musulmanilor Socialiști,,
364,enterprise,Septembrie Negru,,
365,enterprise,Brigăzile Revoluționare Arabe,,
366,enterprise,Consiliul Revoluționar Fatah,,
367,enterprise,Organizația Abu Nidal,,
368,enterprise,Organização Revolucionária dos Muçulmanos Socialistas,,
369,enterprise,Setembro Negro,,
370,enterprise,Brigadas Revolucionárias Árabes,,
371,enterprise,Conselho Revolucionário do Fatah,,
372,enterprise,Organização Abu Nidal,,
373,enterprise,Rewolucyjna Organizacja Muzułmańskich Socjalistów,,
374,enterprise,Czarny Wrzesień,,
375,enterprise,Rewolucyjne Brygady Arabskie,,
376,enterprise,Rewolucyjna Rada Fatah,,
377,enterprise,Organizacja Abu Nidala,,
378,enterprise,Al-Aqsa Martyrs' Brigade,,
